date,close_nok,volume_shares
2025-11-27,18.36,173000
2025-11-28,18.28,166000
2025-12-01,18.40,177000
2025-12-02,18.58,175000
2025-12-03,18.80,183000
2025-12-04,18.70,174000
2025-12-05,18.72,166000
2025-12-08,18.72,140000
2025-12-09,18.70,134000
2025-12-10,18.76,129000
2025-12-11,18.72,129000
2025-12-12,18.72,126000
2025-12-15,18.70,136000
2025-12-16,18.72,119000
2025-12-17,18.74,130000
2025-12-18,18.76,122000
2025-12-19,18.80,125000
2025-12-22,18.80,113000
2025-12-23,18.86,114000
2025-12-29,18.94,113000
2025-12-30,18.98,119000
2026-01-02,19.04,133000
2026-01-05,19.10,120000
2026-01-06,19.20,121000
2026-01-07,19.26,119000
2026-01-08,19.20,123000
2026-01-09,19.14,117000
2026-01-12,19.06,123000
2026-01-13,19.10,132000
2026-01-14,19.06,134000
2026-01-15,19.08,126000
2026-01-16,19.12,128000
2026-01-19,19.08,134000
2026-01-20,18.96,133000
2026-01-21,18.88,135000
2026-01-22,18.82,141000
2026-01-23,18.72,147000
2026-01-26,18.58,146000
2026-01-27,18.50,153000
2026-01-28,18.40,159000
2026-01-29,18.34,174000
2026-01-30,18.30,181000
2026-02-02,18.30,201000
2026-02-03,18.28,178000
2026-02-04,18.26,166000
2026-02-05,18.28,172000
2026-02-06,18.26,178000
2026-02-09,18.20,162000
2026-02-10,18.22,159000
2026-02-11,18.18,151000
2026-02-12,18.18,142000
2026-02-13,18.14,143000
2026-02-16,18.10,136000
2026-02-17,18.06,129000
2026-02-18,18.06,128000
2026-02-19,18.08,124000
2026-02-20,18.06,125000
2026-02-23,17.92,121000
2026-02-24,17.84,121000
2026-02-25,17.76,116000
2026-02-26,17.74,115000
2026-02-27,17.70,111000
2026-03-02,17.66,107000
2026-03-03,17.62,104000
2026-03-04,17.60,107000
2026-03-05,17.62,103000
2026-03-06,17.62,104000
2026-03-09,17.34,96000
2026-03-10,17.24,94000
2026-03-11,17.26,95000
2026-03-12,17.30,92000
2026-03-13,17.30,95000
2026-03-16,17.06,95000
2026-03-17,17.02,97000
2026-03-18,17.04,96000
2026-03-19,17.06,99000
2026-03-20,17.06,99000
2026-03-23,17.44,101000
2026-03-24,17.60,102000
2026-03-25,17.66,104000
2026-03-26,17.64,104000
2026-03-27,17.64,103000
2026-03-30,17.96,112000
2026-03-31,18.30,122000
2026-04-01,18.62,128000
2026-04-07,18.78,129000
2026-04-08,18.82,126000
2026-04-09,18.82,123000
2026-04-10,18.82,121000
2026-04-13,19.12,120000
2026-04-14,19.54,126000
2026-04-15,19.94,137000
2026-04-16,20.02,139000
2026-04-17,20.00,131000
2026-04-20,19.82,121000
2026-04-21,19.80,122000
2026-04-22,19.82,125000
2026-04-23,19.80,125000
2026-04-24,19.80,121000
2026-04-27,19.06,113000
2026-04-28,18.88,107000
2026-04-29,18.86,106000
2026-04-30,18.86,105000
2026-05-04,19.12,108000
2026-05-05,19.22,112000
2026-05-06,19.28,112000
2026-05-07,19.30,114000
2026-05-08,19.28,113000
2026-05-11,19.10,97000
2026-05-12,19.02,100000
2026-05-13,18.86,103000
2026-05-14,18.76,105000
2026-05-15,18.70,107000
2026-05-18,18.50,105000
2026-05-19,18.44,104000
2026-05-20,18.42,104000
2026-05-21,18.42,105000
2026-05-22,18.42,105000
2026-05-26,18.28,104000
2026-05-27,18.24,104000
2026-05-28,18.26,104000
2026-05-29,18.26,103000
2026-06-01,18.10,95000
2026-06-02,18.04,98000
2026-06-03,17.92,88000
2026-06-04,17.76,79000
2026-06-05,17.62,76000
2026-06-08,17.24,78000
2026-06-09,17.12,76000
2026-06-10,17.10,70000
2026-06-11,17.08,68000
2026-06-12,17.10,66000
2026-06-15,17.10,63000
2026-06-16,17.12,62000
2026-06-17,17.16,61000
2026-06-18,17.20,60000
2026-06-19,17.20,59000
2026-06-22,17.10,57000
2026-06-23,17.08,56000
2026-06-24,17.06,55000
2026-06-25,17.02,55000
2026-06-26,17.04,54000
2026-06-29,17.02,54000
2026-06-30,17.00,55000
2026-07-01,17.04,55000
2026-07-02,17.08,56000
2026-07-03,17.10,57000
2026-07-06,17.08,53000
2026-07-07,17.18,26910
2026-07-08,16.76,73502
2026-07-09,16.76,44062
2026-07-10,17.04,23622
2026-07-13,17.06,30263
2026-07-14,17.04,57698
2026-07-15,17.08,12977
2026-07-16,17.04,43932
2026-07-17,17.00,36464
2026-07-20,16.84,32506
2026-07-21,17.12,60435
2026-07-22,17.00,18830
2026-07-23,16.98,13837
2026-07-24,16.88,77686
2026-07-27,16.82,63935
2026-07-28,16.72,43830
2026-07-29,16.82,43907
2026-07-30,16.80,28348
2026-07-31,18.00,125767
2026-08-03,17.84,113663
2026-08-04,17.32,58082
2026-08-05,17.30,27238
2026-08-06,17.34,33263
2026-08-07,17.34,78875
2026-08-10,17.04,53289
2026-08-11,17.24,31951
2026-08-12,17.92,81540
2026-08-13,17.86,43855
2026-08-14,17.20,24952
